Designation,Company,Salary from InsiderInc
Senior Software Engineer,Alcatel-Lucent,9.8
Software Engineer,Alcatel-Lucent,5.6
Technical Specialist,Alcatel-Lucent,21.2
Graduate Engineer Trainee,ALSTOM India,4.1
Junior Software Engineer,Altisource,3.2
Software Engineer,Altisource,5.8
Director,Alternative Energy,37.1
Storage Admin Administration,Align Biz Technologies,10
Developer,Allacode Technology Solutions,4.7
Developer,Allegis Services India,7.1
Microstrategy TL Architect,Allegis Services India,14.1
QA Engineer,Allegis Services India,8.8
Consultant,Alluri Softek,8.2
Assistant Manager - Sales and Marketing,Allahabad Bank,3.8
Officer Scale I,Allahabad Bank,3.8
Senior Software Engineer,Altair Engineering,9.5
Software Developer,Altair Engineering,6.5
Relationship Manager,Allcad Services,2.1
System Consultant,Alten,9.6
SEO Executive,Alignminds,1.2
Cabin Crew (Female) Air Hostess,Alroz Aviation,1.5
Business Analyst,Amazon.com,5.3
Operations Manager,Amazon.com,22.7
Product Manager,Amazon.com,27.3
Quality Assurance Engineer I,Amazon.com,13.5
Senior Product Manager,Amazon.com,34.7
Senior UX Designer,Amazon.com,25.7
Software Analyst,Amazon.com,8.8
Software Development Engineer,Amazon.com,13.2
Software Development Engineer In Test,Amazon.com,10.7
Software Development Manager,Amazon.com,29
Technical Support Associate,Amazon.com,2.4
Design Engineer,AMD,26.3
Design Engineer II,AMD,9
Senior ASIC Design Engineer,AMD,14.2
Senior Design Engineer,AMD,13.2
Group Leader,Amdocs,10.5
Programming Senior Subject Matter Expert,Amdocs,6
QA Engineer,Amdocs,6.5
Senior Software Developer,Amdocs,8
Senior Software Engineer,Amdocs,6.8
Senior Subject Matter Expert,Amdocs,7.3
Senior Testing Engineer,Amdocs,7.2
Software Development Expert,Amdocs,12.5
Software Engineer,Amdocs,6.3
Subject Matter Expert,Amdocs,5.1
Subject Matter Expert (Trainee),Amdocs,4.5
Analyst,American Express,4.6
Analytics Manager,American Express,20
Assistant Manager,American Express,13.3
Big Data Consultant,American Express,14.3
Business Analyst,American Express,12
Director,American Express,27.6
Management Trainee,American Express,14.3
Manager,American Express,23.2
Programmer Analyst,American Express,7.2
Project Manager,American Express,18.1
Digital Marketing Automation Specialist,aMarketforce (India),5.3
Developer,Ampliflex Software,7.6
Software Engineer,Ampliflex Software,6.5
Area Sales Manager,Amitex Polymers,2.9
Development Manager,Amadeus Software Labs,17.1
Sales Manger,AmbiQuant,54.4
Design Engineer,Analog Devices,7.5
Digital Design Engineer,Analog Devices,7.6
Assistant Manager,Anthelio Healthcare Solutions,6.8
Captain,Anglo Eastern Ship Management,44.4
Sales Manager,Antexx,3.6
Database Administrator,Anlage Infotech,7.6
Mainframe Systematics,Anlage Infotech,9.4
Software Engineer,Anlage Infotech,7.6
Software Engineer,Antz MCS,4.7
Analyst,AOL,6
Financial Analyst,AOL,5.1
Senior SQA Engineer,AOL,8.4
Senior Software Engineer,AOL,13.1
Software Engineer,AOL,9.2
Systems Administrator,AOL,11.4
Compensation Analyst,Aon Hewitt,3.6
Test Engineer,Aon Hewitt,3.6
Applications Engineer,Apache Design,8.6
R&D Engineer,Apache Design,7.1
Engineering Manager,AppLabs,5.9
Senior Software Engineer,AppLabs,4.9
Team Lead,AppLabs,9.5
Senior Applications Engineer,Applied Materials,11.6
Software Engineer,Applied Materials,5.7
Tech Lead,Applied Materials,10.6
Tech Lead - Global Product Support II,Applied Materials,11.1
Software Engineer,Appta Mobility,6.3
IOS Developer,Aptara,3.2
QA Engineer,Apple,25.8
Research Analyst,Aranca,4.2
Senior Software Engineer,Arcot Systems,12.1
Consultant Engineer,Ariba,14
Product Engineer,Ariba,10.8
Software Engineer,Ariba,12.4
Network Engineer,Aricent Technologies,5.5
Project Manager,Aricent Technologies,15.4
Senior Business Development Manager,Aricent Technologies,26.7
Senior Engineer-Testing and Configuration,Aricent Technologies,6.8
Senior Networking Engineer,Aricent Technologies,6.6
Senior Project Manager,Aricent Technologies,25
Senior Software Engineer,Aricent Technologies,7.9
Senior Technical Lead,Aricent Technologies,16.6
Senior Test Engineer,Aricent Technologies,8.1
Software Engineer,Aricent Technologies,4.6
Technical Lead,Aricent Technologies,11.1
Test Engineer,Aricent Technologies,4.8
Trainee Software Engineer,Aricent Technologies,4
Senior Software Engineer,ArisGlobal,5.8
Software Engineer,ArisGlobal,4.4
Associate Software Engineer,Aristocrat Technologies,5.1
Senior Software Developer,Aristocrat Technologies,7.3
Design Engineer,ARM Holdings,8.2
Senior Design Engineer,ARM Holdings,11.3
Specialist,Arbitron india,3.9
JBOSS Administrator,Arctern,4.7
Software Developer,Arctern,10
System Administrator,AR Wonders Technologies,6.5
Support Engineer,Arbor Financial Systems,4.1
Technical Support,Arise Solution,4.1
Software Developer,Ariveguru,2.2
Senior Manager,Arvind Limited,6.3
Business Development Executive,Armieda,3.8
Deputy Manager,Ashok Leyland,7.7
Manager,Ashok Leyland,11.5
Area Sales Manager,Asian Paints,8.8
Manager,Asian Paints,20.5
Sales Executive,Asian Paints,3.6
Senior Officer - PED,Asian Paints,6.2
Project Lead,Aspire Systems,8.4
Senior Software Engineer,Aspire Systems,4.2
Software Engineer,Aspire Systems,3.9
Software Engineer,Ascenders Technologies,5.9
Software Engineer,Assyst Information Technologies,2.2
Associate Software Engineer,Atos,2.8
Senior Software Developer,Atos,6.1
Software Developer,Atos,3.6
Software Engineer,Atos,4.3
System Analyst,Atos,7.7
Systems Analyst,Atos,8.2
Systems Engineer,Atos,2.6
Team Lead,Atos,7
Trainee Software Engineer,Atos,3.6
Lead Engineer,Atrenta,12
Senior Software Engineer,Atrenta,10.5
Software Engineer,Atrenta,6.1
Graduate Engineer Trainee,Atkins Global,5.5
Senior Executive - Human Resources,Atkins Global,6.3
AGM Stores,Atul Auto Limited,10
Deputy Manager,Atul Auto Limited,3.4
System Administrator,AT&T,7.5
Programmer,Athenahealth,5.2
Assistant Manager - Human Resources,Attero Recycling,6.3
Java J2EE Developer,aurionPro,3.4
Senior Software Engineer,aurionPro,7.5
Business Analyst,Australia and New Zealand Banking,7.6
Developer,Australia and New Zealand Banking,4.5
Pega Designer,Australia and New Zealand Banking,13.2
Retail Banking Operations,Australia and New Zealand Banking,5.1
Senior Software Engineer,Autonomy,10.5
User Experience Engineer,Auriga IT,5.7
Executive Assistant,Aurobindo Pharma,4.5
Account Manager,Aurum Infocomm,1.9
Associate Software Engineer,Avaya,7.5
Senior Software Engineer,Avaya,13.3
Senior Software Test Engineer,Avaya,12.4
Senior Technical Associate,Avaya,9.4
Software Engineer,Avaya,9.2
Java Developer,Avenues,2.9
Sales Co-ordinator,Avnet Technology,2.9
Assistant Vice President,Axis Bank,25.3
Business Development Executive,Axis Bank,3.7
Deputy Manager,Axis Bank,6.8
Manager,Axis Bank,11.9
Product Manager,Axis Bank,12.2
Senior Manager - IT,Axis Bank,8.5
Vice President,Axis Bank,49.9
General Manager,Axson India,30.4
Service Delivery Manager,Axa,16.8
Specialist,Axa,4.9
Manager,Azingo,31.5
Senior Software Analyst,Bally Technologies,12.6
Software Analyst,Bally Technologies,8.1
Analyst,Bank of America,10
Lead analyst,Bank of America,26.9
Senior Software Analyst,Bank of America,11.5
Senior Software Developer,Bank of America,8
Senior Software Engineer,Bank of America,7.1
Team Lead,Bank of America,6.9
Analyst,Barclays Bank,7.7
Assistant Vice President,Barclays Bank,21.9
Corporate Banking Relationship Manager,Barclays Bank,15.7
Product Manager,Barclays Bank,31
Sales Co-ordinator,Baumer India,3.8
Assistant Professor,BANASTHALI VIDYAPITH,4.3
Associate Software Engineer,BankBazaar.com,3.2
Software Developer,BankBazaar.com,11
Assistant Manager - HR,Baysquare,4.5
Assistant Manager - HR,Baysquaye,4.5
Consultant,Bain & Company,21.7
Vice President,Bangalore International Airport Limited,31.6
Senior Executive,Bajaj Allianz Life Insurance,2.8
Senior Business Analyst,Basix,7.7
Lead analyst,BA Continuum,22.8
Senior Associate (Operations),BA Continuum,3.9
Assistant Manager,Bajaj auto limited,13.1
Consultant,Boston Consulting Group,31.5
Senior Associate,Boston Consulting Group,26.3
Cricketer - Central Contract Category A,BCCI,99.5
Cricketer - Central Contract Category B,BCCI,50.3
Cricketer - Central Contract Category C,BCCI,25.1
Manager,Beroe Inc.,19.5
Research Analyst,Beroe Inc.,4.7
Senior Research Analyst,Beroe Inc.,7.1
Senior copy editor,Bennet & Coleman,4.1
Computer Scientist,Belzabar Software Design,6.7
Sales Officer,Berger Paints,3.6
SEO & Internet Marketing,Betaout Technologies,2.4
Consultant,beStylish.com,5.6
Design Engineer,BE aerospace,1.9
Network Engineer,Betsol,3.6
Engineer,Bharat Heavy Electricals,7.1
Graduate Engineer Trainee,Bharat Heavy Electricals,8.5
Executive,Bharat Petroleum,10.7
Management Executive,Bharat Petroleum,10.5
Management Trainee,Bharat Petroleum,9.9
Marketing Manager,Bharat Petroleum,12.6
Officer,Bharat Petroleum,12.2
Assistant Manager,Bharti Airtel,8.7
Sr. Executive,Bharti Airtel,4.2
Zonal Sales Manager,Bharti Airtel,11.6
Deputy Engineer,Bharat Electronics Limited,4.7
Assistant Engineer,Bhushan Steel Limited,3.5
Associate Software Engineer,Birlasoft,3.7
Senior Software Engineer,Birlasoft,8.7
Software Engineer,Birlasoft,9
Systems Analyst,Birlasoft,10
Assistant Manager,State Bank of India (SBI),4.5
Assistant Vice President,State Bank of India (SBI),12.7
Deputy Manager,State Bank of India (SBI),11.7
Junior Executive,Biocon,2.2
System Administrator,Biobase Databases,4.7
Consultant,Blue Star Infotech,7.6
Associate Software Developer,BMC Software,5.5
Development Manager,BMC Software,23.3
Lead SQA Engineer,BMC Software,10.5
Product Manager,BMC Software,11.5
Senior Software Developer,BMC Software,10.1
Software Developer,BMC Software,9
Support Analyst,BMC Software,12.7
Associate,BMS Corporation,7.9
Assistant Manager,Bosch,7.4
Deputy Manager,Bosch,9.6
Sales Engineer,Bosch,3.3
Software Technical Lead,Bosch,7.6
Retail Store Manager,Bookers India,10.7
Manager,Bookers Satnam Wholesale,10.6
Sales Consultant,Bose,1.7
Architect,BPTP,5.5
Consultant,Bristlecone,7.7
Engineer II,Broadcom,9.1
Staff Engineer,Broadcom,16.2
Staff Engineer II,Broadcom,14.8
Staff Firmware Engineer,Broadcom,9
Senior Software Engineer,Brocade Communications,15.6
Software Engineer,Brocade Communications,14.8
Product Developer,Bravolucy technologies,10.6
Senior Software Development Engineer,Brickred Technologies,8
Trainee,Breakthrough Management Group India (BMGI),6.3
Senior Member Technical,Broadridge,7.1
Area Sales Manager,Britannia,14.7
Management Trainee,Britannia,11.6
Executive Sales,Brigade Enterprises,4.4
Software Engineer,BSB,19
Contract Manager,BT Global Services,12
Partner Manager,BT Global Services,20.3
Proof Reader,Buzzle.com,1.9
Software Developer,Byzan systems,2.8
Associate Software Engineer,CA Technologies,6.9
Product Manager,CA Technologies,18.8
Senior Product Manager,CA Technologies,21.6
Senior Software Engineer,CA Technologies,12.7
Software Engineer,CA Technologies,7.7
Software Quality Assurance Engineer,CA Technologies,6.9
Member of Technical Staff,Cadence Design Systems,9.2
Product Engineer,Cadence Design Systems,6.9
R&D Engineer,Cadence Design Systems,10.6
Senior Member of Technical Staff,Cadence Design Systems,13
Senior R&D Engineer,Cadence Design Systems,15.9
Software Developer,CAE,4.1
Development Engineer,Calsoft,3.9
Principal Software Engineer,Calsoft,8.5
Senior Development Engineer,Calsoft,4.3
Assistant Project Manager,Capgemini,13.7
Associate Consultant,Capgemini,5.6
Business Analyst,Capgemini,11.8
Consultant,Capgemini,7.2
Consultant II,Capgemini,6.8
Consulting Manager,Capgemini,28.5
Database Administrator,Capgemini,12.4
Divisional Manager,Capgemini,21.1
Lead Consultant,Capgemini,13.1
Lead Engineer,Capgemini,3.6
Manager,Capgemini,15
Pre-Sales Consultant,Capgemini,10.7
Principal Consultant,Capgemini,32.2
Project Manager,Capgemini,13.2
SAP Consultant,Capgemini,8.8
SAP Senior Consultant,Capgemini,9.7
Senior Consultant,Capgemini,11.2
Senior SAP Consultant,Capgemini,9.5
Senior Software Consultant,Capgemini,9.5
Senior Software Engineer,Capgemini,4.1
Service Delivery Manager,Capgemini,25
Software Engineer,Capgemini,4.3
Software Test Engineer,Capgemini,2.9
System Administrator,Capgemini,2.6
Technology Consultant,Capgemini,7.7
Research Associate,Capital IQ,4.7
Testing,CashEdge,5.7
Senior Associate Engineer,Caterpillar,8.9
Assistant Brand Manager,Castrol,13.4
Automobile Journalist,Carddekho.com,2.3
Associate Manager,Capita,7.4
Tech Lead,Capita,13.7
Technical Lead,Capita,11.9
Project Lead,Calpine,7.4
Software Engineer,CarTrade.com,7.9
Technical Lead,CarTrade.com,31.3
Senior Sales Executive,Carl Zeiss,5
Manager - Projects,Cargo Service Centre,12.6
Engineer,Calcutta Electric Supply Corp,7.5
Human Resources Executive,Careerxperts consulting,1.7
Senior Applications Consultant,Calance,9.6
Senior Manager,CANARA BANK,9.9
Software Engineer,CAMO,9.4
Associate Software Engineer,CCS Technologies,1.9
Software Engineer,CCS Technologies,2.3
Lead Consultant,CDC Software,17.8
QA Engineer,CDC Software,5.4
Senior Software Engineer,CDC Software,9.8
Engineer,Cdac,6.9
Project Engineer,Cdac,3.7
Senior Manager - Sales,Ceasefire Industries,3.7
Senior Software Engineer,Celstream Technologies,6.9
Senior Software Engineer,Cerner,8.1
Software Architect,Cerner,12.8
Software Engineer,Cerner,5.8
Finance Operation Executive,Centurylink,2.1
Senior Product Engineer,Centurylink,8.5
Software Engineer,Centurylink,5
Technical Lead,Centurylink,10.6
Investment Banking Analyst,Centrum Capital,6.3
Director,CEB,56.7
Delivery Manager,CGI Group,16.2
Senior Business Analyst,CGI Group,10.7
Senior Software Engineer,CGI Group,10.7
Service Delivery Manager,CGI Group,32.6
Software Engineer,CGI Group,6.2
Senior Consultant,CIBER,8.2
Senior Consultant,Cibersites,8
Senior Software Engineer,Ciena,9.2
Architect,Cisco Systems,26.3
Customer Support Engineer,Cisco Systems,10.4
Engineer II,Cisco Systems,11.5
Engineering Manager,Cisco Systems,28.9
Hardware Engineer,Cisco Systems,9.9
IT Engineer,Cisco Systems,9
Manager,Cisco Systems,35.3
Network Consulting Engineer,Cisco Systems,7.2
Network Consulting Engineer III,Cisco Systems,15.8
Project Manager - IT,Cisco Systems,17.3
Senior Software Engineer,Cisco Systems,18.7
Software Development Engineer,Cisco Systems,7.9
Software Engineer,Cisco Systems,10.9
Software engineer 2,Cisco Systems,9.7
Technical Writer,Cisco Systems,11
AVP product delivery,Citibank,14.2
Assistant Manager,Citibank,15.7
Cash Officer,Citibank,5.5
Manager,Citibank,12
Product Manager,Citibank,12.2
Software Development Engineer,Citius IT Solutions,5.9
Software Engineer,Citius IT Solutions,4.7
Senior Software Development Engineer,Citrix Systems,14.8
Senior Software Engineer,Citrix Systems,18.6
Senior Software Engineer II,Citrix Systems,22.1
Senior Web Developer,Citrix Systems,12.7
Software Developer,Citrix Systems,10.4
Software Development Engineer,Citrix Systems,10.1
Software Engineer,Citrix Systems,12.6
Software Test Engineer,Citrix Systems,9.2
Software Test Engineer II,Citrix Systems,15.7
Solutions Architect,Citrix Systems,25.2
Staff Software Engineer,Citrix Systems,9.5
Medical Laboratory Technologist,Civil hospital,1.9
Consultant,Cignex Datamatics,5.5
Developer,Cignex Datamatics,3.2
Senior Consultant,Cignex Datamatics,9.6
Medical advisor,Cipla,8.5
Software Engineer,Ciflink Software Solutions,2.2
Tech Lead,Citigroup,19
Director,CIS,25.2
Business Development Executive,ClinACE,2.1
Graduate Engineer Trainee,Cleartrip.com,5.7
Senior Business Analyst,Clear2pay India,18.4
Manual Tester,Clematix,1.1
Software Engineer Trainee,ClaySys Technologies,1.2
IT Engineer,CMC,4.1
IT Manager,CMC,14
Senior Software Engineer,CMC,6.9
Software Engineer,CNS Inc,7.4
Assistant Manager - Business Development,Cognizant Technology Solutions,16.7
Assistant Manager - Projects,Cognizant Technology Solutions,13.6
Assistant Manager - Projects,Cognizant Technology Solutions,13.6
Associate,Cognizant Technology Solutions,6.7
Associate - Projects,Cognizant Technology Solutions,6.5
Associate Director - Business Development,Cognizant Technology Solutions,30.5
Associate Director - Business Development,Cognizant Technology Solutions,30.5
Associate Engineer,Cognizant Technology Solutions,3.8
Associate Operation Manager,Cognizant Technology Solutions,12.4
Associate - Projects,Cognizant Technology Solutions,6.5
Associate - Projects,Cognizant Technology Solutions,6.5
Business Consultant,Cognizant Technology Solutions,17.6
Consultant,Cognizant Technology Solutions,13.5
Business Development Manager,Cognizant Technology Solutions,14
Delivery Manager,Cognizant Technology Solutions,12.6
Delivery Manager,Cognizant Technology Solutions,12.6
Financial Analyst,Cognizant Technology Solutions,5.5
General Manager,Cognizant Technology Solutions,7.4
General Manager,Cognizant Technology Solutions,7.4
Hardware Design Engineer,Cognizant Technology Solutions,4.9
Manager - Salesforce,Cognizant Technology Solutions,22.1
Manager,Cognizant Technology Solutions,19.4
Program Analyst,Cognizant Technology Solutions,3.6
Program Analyst,Cognizant Technology Solutions,3.6
Programmer Analyst,Cognizant Technology Solutions,4.4
Project Associate,Cognizant Technology Solutions,8
Project Lead,Cognizant Technology Solutions,5.3
Project Associate,Cognizant Technology Solutions,8
Projects Manager,Cognizant Technology Solutions,22.8
Senior Associate,Cognizant Technology Solutions,10.3
Senior Associate,Cognizant Technology Solutions,10.3
Senior Associate - Projects,Cognizant Technology Solutions,10
Senior Business Analyst,Cognizant Technology Solutions,12.4
Senior Consultant,Cognizant Technology Solutions,11.2
Senior Manager,Cognizant Technology Solutions,22.1
Senior Manager - Salesforce,Cognizant Technology Solutions,22.1
Senior Manager,Cognizant Technology Solutions,22.1
Senior Engineer,Collabera,5
Senior Software Engineer,Collabera,6.7
Software Development Engineer In Test,Collabera,3.4
Software Engineer,Collabera,3.9
Legal Trainee,COLT Telecom,2.7
Technical Lead,COLT Telecom,10.9
Member of Technical Staff,CommVault,10.8
Senior Consultant,Comverse Technology,8
Associate Software Developer,Comviva Technology,4
Lead Engineer,Comviva Technology,8.4
Senior Design Engineer,Conexant Systems,7.8
Senior Software Engineer,Conexant Systems,7.3
Lead Engineer,Continuous Computing,14.9
Analyst,Convergys,9.2
Associate Program Analyst,Convergys,4.4
Senior Analyst,Convergys,14.9
Senior Manager,Convergys,19
Team Manager,Convergys,7.9
Technical Support,Convergys,1.2
Senior Associate,Copal Partners,9.6
Associate Software Engineer,Cordys,5.2
Interaction Design,Cordys,10.5
Software Engineer,Cordys,7.5
Usability Engineer,Cordys,11
Team Lead,CoreLogic,9.3
Engineering Lead,Coreobjects,13.9
Research Associate,Corporate Executive Board,5.5
Senior Research Associate,Corporate Executive Board,9.2
Analog Design Engineer,Cosmic Circuits,6.8
Software Engineer,Compro Technologies,5
Design Engineer,Comau India,3.1
Product Engineer,Commonfloor.com,6.3
Finance Controller,Corning Technologies,26.6
Consulting Manager,Cognizant,17.8
Programmer Analyst,Cognizant,3.1
Patent Analyst,CPA Global,8.1
Analyst,Credit Suisse,14.2
Assistant Vice President,Credit Suisse,19.6
Exempt Non Officer,Credit Suisse,11.5
Program Manager,Credit Suisse,31.3
Associate,Crisil,4.2
Consultant,Crisil,8.4
Credit Analyst,Crisil,7.1
Manager,Crisil,12.3
Research Analyst,Crisil,7.8
Senior Consultant,Crisil,8.9
Senior credit analyst,Crisil,13.6
Project Manager,CRMIT Solutions,8.3
Senior Software Consultant,CRMIT Solutions,4.7
Manager,Crimsonlogic,15.8
Applications Developer,CSC,4.7
Assistant Manager,CSC,11
Associate Applications Developer,CSC,7.6
Associate Engineer,CSC,3.5
Associate Manager,CSC,11
Associate Software Engineer,CSC,4
Business Analyst,CSC,6.4
Lead Consultant,CSC,12
Manager,CSC,13.5
Network Engineer,CSC,3.9
Principal Consultant,CSC,18.2
Programmer Analyst,CSC,5.8
Project Lead,CSC,10
Project Manager,CSC,12.7
Senior Analyst,CSC,5.6
Senior Consultant,CSC,9.6
Senior Software Engineer,CSC,8.5
Senior Systems Administrator,CSC,9.1
Software Developer,CSC,6.1
Software Engineer,CSC,5.3
Systems Engineer,CSC,11.1
Test Engineer,CSC,7.2
Support Engineer,CSS Corporation,4.5
Technical Support Analyst,CSS Corporation,2.3
Assistant Business Analyst,Tata Consultancy Services (TCS),7.1
Assistant Consultant,Tata Consultancy Services (TCS),11.8
Assistant Manager,Tata Consultancy Services (TCS),9.7
Assistant Software Engineer,Tata Consultancy Services (TCS),4.7
Assistant Software Engineer Trainee,Tata Consultancy Services (TCS),3.8
Assistant Systems Analyst,Tata Consultancy Services (TCS),7.4
Assistant Systems Engineer,Tata Consultancy Services (TCS),4.7
Assistant Systems Engineer Trainee,Tata Consultancy Services (TCS),3.7
Associate Applications Developer,Tata Consultancy Services (TCS),11.6
Associate Consultant,Tata Consultancy Services (TCS),14.4
Business Analyst,Tata Consultancy Services (TCS),8.1
Business Systems Analyst,Tata Consultancy Services (TCS),6.9
Consultant,Tata Consultancy Services (TCS),15.4
Database Administrator,Tata Consultancy Services (TCS),5.3
Delivery Manager,Tata Consultancy Services (TCS),11
Developer,Tata Consultancy Services (TCS),5.9
Engineer,Tata Consultancy Services (TCS),7.1
IT Analyst,Tata Consultancy Services (TCS),8
Lead,Tata Consultancy Services (TCS),7.5
Marketing Manager,Tata Consultancy Services (TCS),8.8
Oracle DBA,Tata Consultancy Services (TCS),7.6
Process Associate,Tata Consultancy Services (TCS),2.8
Program Manager,Tata Consultancy Services (TCS),15.8
Programmer Analyst,Tata Consultancy Services (TCS),5.7
Project Lead,Tata Consultancy Services (TCS),9.9
Project Manager,Tata Consultancy Services (TCS),14.2
QA Analyst,Tata Consultancy Services (TCS),6
SAP Consultant,Tata Consultancy Services (TCS),5
Senior Business Analyst,Tata Consultancy Services (TCS),5.7
Senior Consultant,Tata Consultancy Services (TCS),23.2
Senior Software Engineer,Tata Consultancy Services (TCS),5.9
Senior Team Lead,Tata Consultancy Services (TCS),8.4
Software Developer,Tata Consultancy Services (TCS),2.5
Software Engineer,Tata Consultancy Services (TCS),4.9
Systems Analyst,Tata Consultancy Services (TCS),8.2
Systems Engineer,Tata Consultancy Services (TCS),5.2
Systems Software Engineer,Tata Consultancy Services (TCS),5.6
Team Lead,Tata Consultancy Services (TCS),7.4
Test Analyst,Tata Consultancy Services (TCS),5.7
Vice President,Tata Consultancy Services (TCS),62.7
Web Developer,Tata Consultancy Services (TCS),2.5
Workflow analyst,Tata Consultancy Services (TCS),3.2
Structural Engineer,Cscworld,7.9
SAP Consultant,CTS (Computer Technology Solutions),8.5
Test Lead,CTS (Computer Technology Solutions),7
Software Engineer,CTS International,4.3
Assistant Manager,Cummins India Limited,5.3
Associate Software Engineer,Curam Software,6.3
Software Engineer,Curam Software,6.3
Associate Program Manager,Culture Unplugged Studios,5.7
Software Engineer,Cupla,4.4
Member of Technical Staff,Cumulus Systems,7.9
Php Web Developer,CWS Technology,1.9
Business Development Executive,Cybage Software,3.4
